Year,Level,Division,Grade,Count
2019 - 2020,DIV,Norton City Public Schools,12,52
2019 - 2020,DIV,Nottoway County Public Schools,,1990
2019 - 2020,DIV,Nottoway County Public Schools,PK,80
2019 - 2020,DIV,Nottoway County Public Schools,KG,145
2019 - 2020,DIV,Nottoway County Public Schools,1,150
2019 - 2020,DIV,Nottoway County Public Schools,2,145
2019 - 2020,DIV,Nottoway County Public Schools,3,147
2019 - 2020,DIV,Nottoway County Public Schools,4,128
2019 - 2020,DIV,Nottoway County Public Schools,5,149
2019 - 2020,DIV,Nottoway County Public Schools,6,136
2019 - 2020,DIV,Nottoway County Public Schools,7,163
2019 - 2020,DIV,Nottoway County Public Schools,8,147
2019 - 2020,DIV,Nottoway County Public Schools,9,169
2019 - 2020,DIV,Nottoway County Public Schools,10,165
2019 - 2020,DIV,Nottoway County Public Schools,11,136
2019 - 2020,DIV,Nottoway County Public Schools,12,130
2019 - 2020,DIV,Orange County Public Schools,,5092
2019 - 2020,DIV,Orange County Public Schools,PK,227
2019 - 2020,DIV,Orange County Public Schools,KG,355
2019 - 2020,DIV,Orange County Public Schools,1,364
2019 - 2020,DIV,Orange County Public Schools,2,370
2019 - 2020,DIV,Orange County Public Schools,3,390
2019 - 2020,DIV,Orange County Public Schools,4,362
2019 - 2020,DIV,Orange County Public Schools,5,375
2019 - 2020,DIV,Orange County Public Schools,6,385
2019 - 2020,DIV,Orange County Public Schools,7,406
2019 - 2020,DIV,Orange County Public Schools,8,360
2019 - 2020,DIV,Orange County Public Schools,9,400
2019 - 2020,DIV,Orange County Public Schools,10,390
2019 - 2020,DIV,Orange County Public Schools,11,315
2019 - 2020,DIV,Orange County Public Schools,12,393
2019 - 2020,DIV,Page County Public Schools,,3354
2019 - 2020,DIV,Page County Public Schools,PK,98
2019 - 2020,DIV,Page County Public Schools,KG,234
2019 - 2020,DIV,Page County Public Schools,1,235
2019 - 2020,DIV,Page County Public Schools,2,228
2019 - 2020,DIV,Page County Public Schools,3,208
2019 - 2020,DIV,Page County Public Schools,4,219
2019 - 2020,DIV,Page County Public Schools,5,266
2019 - 2020,DIV,Page County Public Schools,6,260
2019 - 2020,DIV,Page County Public Schools,7,230
2019 - 2020,DIV,Page County Public Schools,8,282
2019 - 2020,DIV,Page County Public Schools,9,279
2019 - 2020,DIV,Page County Public Schools,10,296
2019 - 2020,DIV,Page County Public Schools,11,273
2019 - 2020,DIV,Page County Public Schools,12,246
2019 - 2020,DIV,Patrick County Public Schools,,2558
2019 - 2020,DIV,Patrick County Public Schools,PK,71
2019 - 2020,DIV,Patrick County Public Schools,KG,384
2019 - 2020,DIV,Patrick County Public Schools,1,230
2019 - 2020,DIV,Patrick County Public Schools,2,160
2019 - 2020,DIV,Patrick County Public Schools,3,171
2019 - 2020,DIV,Patrick County Public Schools,4,169
2019 - 2020,DIV,Patrick County Public Schools,5,147
2019 - 2020,DIV,Patrick County Public Schools,6,185
2019 - 2020,DIV,Patrick County Public Schools,7,168
2019 - 2020,DIV,Patrick County Public Schools,8,192
2019 - 2020,DIV,Patrick County Public Schools,9,188
2019 - 2020,DIV,Patrick County Public Schools,10,175
2019 - 2020,DIV,Patrick County Public Schools,11,181
2019 - 2020,DIV,Patrick County Public Schools,12,137
2019 - 2020,DIV,Petersburg City Public Schools,,4211
2019 - 2020,DIV,Petersburg City Public Schools,PK,392
2019 - 2020,DIV,Petersburg City Public Schools,KG,367
2019 - 2020,DIV,Petersburg City Public Schools,1,343
2019 - 2020,DIV,Petersburg City Public Schools,2,327
2019 - 2020,DIV,Petersburg City Public Schools,3,352
2019 - 2020,DIV,Petersburg City Public Schools,4,324
2019 - 2020,DIV,Petersburg City Public Schools,5,326
2019 - 2020,DIV,Petersburg City Public Schools,6,282
2019 - 2020,DIV,Petersburg City Public Schools,7,292
2019 - 2020,DIV,Petersburg City Public Schools,8,256
2019 - 2020,DIV,Petersburg City Public Schools,9,269
2019 - 2020,DIV,Petersburg City Public Schools,10,233
2019 - 2020,DIV,Petersburg City Public Schools,11,198
2019 - 2020,DIV,Petersburg City Public Schools,12,250
2019 - 2020,DIV,Pittsylvania County Public Schools,,8723
2019 - 2020,DIV,Pittsylvania County Public Schools,PK,298
2019 - 2020,DIV,Pittsylvania County Public Schools,KG,547
2019 - 2020,DIV,Pittsylvania County Public Schools,1,566
2019 - 2020,DIV,Pittsylvania County Public Schools,2,587
2019 - 2020,DIV,Pittsylvania County Public Schools,3,612
2019 - 2020,DIV,Pittsylvania County Public Schools,4,584
2019 - 2020,DIV,Pittsylvania County Public Schools,5,653
2019 - 2020,DIV,Pittsylvania County Public Schools,6,713
2019 - 2020,DIV,Pittsylvania County Public Schools,7,671
2019 - 2020,DIV,Pittsylvania County Public Schools,8,724
2019 - 2020,DIV,Pittsylvania County Public Schools,9,776
2019 - 2020,DIV,Pittsylvania County Public Schools,10,690
2019 - 2020,DIV,Pittsylvania County Public Schools,11,627
2019 - 2020,DIV,Pittsylvania County Public Schools,12,675
2019 - 2020,DIV,Poquoson City Public Schools,,2137
2019 - 2020,DIV,Poquoson City Public Schools,PK,22
2019 - 2020,DIV,Poquoson City Public Schools,KG,137
2019 - 2020,DIV,Poquoson City Public Schools,1,142
2019 - 2020,DIV,Poquoson City Public Schools,2,154
2019 - 2020,DIV,Poquoson City Public Schools,3,158
2019 - 2020,DIV,Poquoson City Public Schools,4,135
2019 - 2020,DIV,Poquoson City Public Schools,5,164
2019 - 2020,DIV,Poquoson City Public Schools,6,182
2019 - 2020,DIV,Poquoson City Public Schools,7,169
2019 - 2020,DIV,Poquoson City Public Schools,8,166
2019 - 2020,DIV,Poquoson City Public Schools,9,200
2019 - 2020,DIV,Poquoson City Public Schools,10,177
2019 - 2020,DIV,Poquoson City Public Schools,11,178
2019 - 2020,DIV,Poquoson City Public Schools,12,153
2019 - 2020,DIV,Portsmouth City Public Schools,,13991
2019 - 2020,DIV,Portsmouth City Public Schools,PK,582
2019 - 2020,DIV,Portsmouth City Public Schools,KG,1090
2019 - 2020,DIV,Portsmouth City Public Schools,1,1136
2019 - 2020,DIV,Portsmouth City Public Schools,2,1138
2019 - 2020,DIV,Portsmouth City Public Schools,3,1116
2019 - 2020,DIV,Portsmouth City Public Schools,4,1143
2019 - 2020,DIV,Portsmouth City Public Schools,5,1047
2019 - 2020,DIV,Portsmouth City Public Schools,6,1065
2019 - 2020,DIV,Portsmouth City Public Schools,7,986
2019 - 2020,DIV,Portsmouth City Public Schools,8,921
2019 - 2020,DIV,Portsmouth City Public Schools,9,1118
2019 - 2020,DIV,Portsmouth City Public Schools,10,903
2019 - 2020,DIV,Portsmouth City Public Schools,11,883
2019 - 2020,DIV,Portsmouth City Public Schools,12,863
2019 - 2020,DIV,Powhatan County Public Schools,,4356
2019 - 2020,DIV,Powhatan County Public Schools,PK,69
2019 - 2020,DIV,Powhatan County Public Schools,KG,307
2019 - 2020,DIV,Powhatan County Public Schools,1,282
2019 - 2020,DIV,Powhatan County Public Schools,2,285
2019 - 2020,DIV,Powhatan County Public Schools,3,333
2019 - 2020,DIV,Powhatan County Public Schools,4,316
2019 - 2020,DIV,Powhatan County Public Schools,5,305
2019 - 2020,DIV,Powhatan County Public Schools,6,336
2019 - 2020,DIV,Powhatan County Public Schools,7,330
2019 - 2020,DIV,Powhatan County Public Schools,8,372
2019 - 2020,DIV,Powhatan County Public Schools,9,384
2019 - 2020,DIV,Powhatan County Public Schools,10,361
2019 - 2020,DIV,Powhatan County Public Schools,11,335
2019 - 2020,DIV,Powhatan County Public Schools,12,341
2019 - 2020,DIV,Prince Edward County Public Schools,,2057
2019 - 2020,DIV,Prince Edward County Public Schools,PK,107
2019 - 2020,DIV,Prince Edward County Public Schools,KG,153
2019 - 2020,DIV,Prince Edward County Public Schools,1,127
2019 - 2020,DIV,Prince Edward County Public Schools,2,161
2019 - 2020,DIV,Prince Edward County Public Schools,3,138
2019 - 2020,DIV,Prince Edward County Public Schools,4,154
2019 - 2020,DIV,Prince Edward County Public Schools,5,154
2019 - 2020,DIV,Prince Edward County Public Schools,6,164
2019 - 2020,DIV,Prince Edward County Public Schools,7,148
2019 - 2020,DIV,Prince Edward County Public Schools,8,141
2019 - 2020,DIV,Prince Edward County Public Schools,9,179
2019 - 2020,DIV,Prince Edward County Public Schools,10,183
2019 - 2020,DIV,Prince Edward County Public Schools,11,125
2019 - 2020,DIV,Prince Edward County Public Schools,12,123
2019 - 2020,DIV,Prince George County Public Schools,,6353
2019 - 2020,DIV,Prince George County Public Schools,PK,125
2019 - 2020,DIV,Prince George County Public Schools,KG,485
2019 - 2020,DIV,Prince George County Public Schools,1,485
2019 - 2020,DIV,Prince George County Public Schools,2,487
2019 - 2020,DIV,Prince George County Public Schools,3,471
2019 - 2020,DIV,Prince George County Public Schools,4,470
2019 - 2020,DIV,Prince George County Public Schools,5,504
2019 - 2020,DIV,Prince George County Public Schools,6,512
2019 - 2020,DIV,Prince George County Public Schools,7,528
2019 - 2020,DIV,Prince George County Public Schools,8,501
2019 - 2020,DIV,Prince George County Public Schools,9,448
2019 - 2020,DIV,Prince George County Public Schools,10,482
2019 - 2020,DIV,Prince George County Public Schools,11,414
2019 - 2020,DIV,Prince George County Public Schools,12,441
2019 - 2020,DIV,Prince William County Public Schools,,92270
2019 - 2020,DIV,Prince William County Public Schools,PK,1637
2019 - 2020,DIV,Prince William County Public Schools,KG,6287
2019 - 2020,DIV,Prince William County Public Schools,1,6636
2019 - 2020,DIV,Prince William County Public Schools,2,6803
2019 - 2020,DIV,Prince William County Public Schools,3,6744
2019 - 2020,DIV,Prince William County Public Schools,4,6856
2019 - 2020,DIV,Prince William County Public Schools,5,7081
2019 - 2020,DIV,Prince William County Public Schools,6,6993
2019 - 2020,DIV,Prince William County Public Schools,7,7202
2019 - 2020,DIV,Prince William County Public Schools,8,7284
2019 - 2020,DIV,Prince William County Public Schools,9,7679
2019 - 2020,DIV,Prince William County Public Schools,10,7401
2019 - 2020,DIV,Prince William County Public Schools,11,6635
2019 - 2020,DIV,Prince William County Public Schools,12,7032
2019 - 2020,DIV,Pulaski County Public Schools,,4096
2019 - 2020,DIV,Pulaski County Public Schools,PK,158
2019 - 2020,DIV,Pulaski County Public Schools,KG,319
2019 - 2020,DIV,Pulaski County Public Schools,1,327
2019 - 2020,DIV,Pulaski County Public Schools,2,302
2019 - 2020,DIV,Pulaski County Public Schools,3,262
2019 - 2020,DIV,Pulaski County Public Schools,4,302
2019 - 2020,DIV,Pulaski County Public Schools,5,301
2019 - 2020,DIV,Pulaski County Public Schools,6,331
2019 - 2020,DIV,Pulaski County Public Schools,7,304
2019 - 2020,DIV,Pulaski County Public Schools,8,290
2019 - 2020,DIV,Pulaski County Public Schools,9,344
2019 - 2020,DIV,Pulaski County Public Schools,10,320
2019 - 2020,DIV,Pulaski County Public Schools,11,283
2019 - 2020,DIV,Pulaski County Public Schools,12,253
2019 - 2020,DIV,Radford City Public Schools,,1642
2019 - 2020,DIV,Radford City Public Schools,PK,45
2019 - 2020,DIV,Radford City Public Schools,KG,124
2019 - 2020,DIV,Radford City Public Schools,1,116
2019 - 2020,DIV,Radford City Public Schools,2,120
2019 - 2020,DIV,Radford City Public Schools,3,117
2019 - 2020,DIV,Radford City Public Schools,4,101
2019 - 2020,DIV,Radford City Public Schools,5,126
2019 - 2020,DIV,Radford City Public Schools,6,120
2019 - 2020,DIV,Radford City Public Schools,7,141
2019 - 2020,DIV,Radford City Public Schools,8,135
2019 - 2020,DIV,Radford City Public Schools,9,131
2019 - 2020,DIV,Radford City Public Schools,10,128
2019 - 2020,DIV,Radford City Public Schools,11,114
2019 - 2020,DIV,Radford City Public Schools,12,124
2019 - 2020,DIV,Rappahannock County Public Schools,,791
2019 - 2020,DIV,Rappahannock County Public Schools,PK,22
2019 - 2020,DIV,Rappahannock County Public Schools,KG,51
2019 - 2020,DIV,Rappahannock County Public Schools,1,51
2019 - 2020,DIV,Rappahannock County Public Schools,2,49
2019 - 2020,DIV,Rappahannock County Public Schools,3,62
2019 - 2020,DIV,Rappahannock County Public Schools,4,64
2019 - 2020,DIV,Rappahannock County Public Schools,5,55
2019 - 2020,DIV,Rappahannock County Public Schools,6,61
2019 - 2020,DIV,Rappahannock County Public Schools,7,65
2019 - 2020,DIV,Rappahannock County Public Schools,8,64
2019 - 2020,DIV,Rappahannock County Public Schools,9,51
2019 - 2020,DIV,Rappahannock County Public Schools,10,73
2019 - 2020,DIV,Rappahannock County Public Schools,11,58
2019 - 2020,DIV,Rappahannock County Public Schools,12,65
2019 - 2020,DIV,Richmond City Public Schools,,25212
2019 - 2020,DIV,Richmond City Public Schools,PK,1667
2019 - 2020,DIV,Richmond City Public Schools,KG,1897
2019 - 2020,DIV,Richmond City Public Schools,1,2052
2019 - 2020,DIV,Richmond City Public Schools,2,2083
2019 - 2020,DIV,Richmond City Public Schools,3,2069
2019 - 2020,DIV,Richmond City Public Schools,4,2035
2019 - 2020,DIV,Richmond City Public Schools,5,1949
2019 - 2020,DIV,Richmond City Public Schools,6,1900
2019 - 2020,DIV,Richmond City Public Schools,7,1959
2019 - 2020,DIV,Richmond City Public Schools,8,1722
2019 - 2020,DIV,Richmond City Public Schools,9,1861
2019 - 2020,DIV,Richmond City Public Schools,10,1566
2019 - 2020,DIV,Richmond City Public Schools,11,1312
2019 - 2020,DIV,Richmond City Public Schools,12,1140
2019 - 2020,DIV,Richmond County Public Schools,,1301
2019 - 2020,DIV,Richmond County Public Schools,PK,44
2019 - 2020,DIV,Richmond County Public Schools,KG,81
2019 - 2020,DIV,Richmond County Public Schools,1,90
2019 - 2020,DIV,Richmond County Public Schools,2,90
2019 - 2020,DIV,Richmond County Public Schools,3,104
2019 - 2020,DIV,Richmond County Public Schools,4,87
2019 - 2020,DIV,Richmond County Public Schools,5,97
2019 - 2020,DIV,Richmond County Public Schools,6,115
2019 - 2020,DIV,Richmond County Public Schools,7,108
2019 - 2020,DIV,Richmond County Public Schools,8,96
2019 - 2020,DIV,Richmond County Public Schools,9,96
2019 - 2020,DIV,Richmond County Public Schools,10,105
2019 - 2020,DIV,Richmond County Public Schools,11,89
2019 - 2020,DIV,Richmond County Public Schools,12,99
2019 - 2020,DIV,Roanoke City Public Schools,,14049
2019 - 2020,DIV,Roanoke City Public Schools,PK,565
2019 - 2020,DIV,Roanoke City Public Schools,KG,1146
2019 - 2020,DIV,Roanoke City Public Schools,1,1155
2019 - 2020,DIV,Roanoke City Public Schools,2,1128
2019 - 2020,DIV,Roanoke City Public Schools,3,1084
2019 - 2020,DIV,Roanoke City Public Schools,4,1064
2019 - 2020,DIV,Roanoke City Public Schools,5,1056
2019 - 2020,DIV,Roanoke City Public Schools,6,1129
2019 - 2020,DIV,Roanoke City Public Schools,7,1067
2019 - 2020,DIV,Roanoke City Public Schools,8,969
2019 - 2020,DIV,Roanoke City Public Schools,9,1090
2019 - 2020,DIV,Roanoke City Public Schools,10,962
2019 - 2020,DIV,Roanoke City Public Schools,11,853
2019 - 2020,DIV,Roanoke City Public Schools,12,781
2019 - 2020,DIV,Roanoke County Public Schools,,13999
2019 - 2020,DIV,Roanoke County Public Schools,PK,304
2019 - 2020,DIV,Roanoke County Public Schools,KG,906
2019 - 2020,DIV,Roanoke County Public Schools,1,1009
2019 - 2020,DIV,Roanoke County Public Schools,2,913
2019 - 2020,DIV,Roanoke County Public Schools,3,979
2019 - 2020,DIV,Roanoke County Public Schools,4,1044
2019 - 2020,DIV,Roanoke County Public Schools,5,1049
2019 - 2020,DIV,Roanoke County Public Schools,6,1116
2019 - 2020,DIV,Roanoke County Public Schools,7,1116
2019 - 2020,DIV,Roanoke County Public Schools,8,1137
2019 - 2020,DIV,Roanoke County Public Schools,9,1168
2019 - 2020,DIV,Roanoke County Public Schools,10,1090
2019 - 2020,DIV,Roanoke County Public Schools,11,1055
2019 - 2020,DIV,Roanoke County Public Schools,12,1113
2019 - 2020,DIV,Rockbridge County Public Schools,,2819
2019 - 2020,DIV,Rockbridge County Public Schools,PK,72
2019 - 2020,DIV,Rockbridge County Public Schools,KG,183
2019 - 2020,DIV,Rockbridge County Public Schools,1,192
2019 - 2020,DIV,Rockbridge County Public Schools,2,174
2019 - 2020,DIV,Rockbridge County Public Schools,3,165
2019 - 2020,DIV,Rockbridge County Public Schools,4,177
2019 - 2020,DIV,Rockbridge County Public Schools,5,191
2019 - 2020,DIV,Rockbridge County Public Schools,6,220
2019 - 2020,DIV,Rockbridge County Public Schools,7,234
2019 - 2020,DIV,Rockbridge County Public Schools,8,208
2019 - 2020,DIV,Rockbridge County Public Schools,9,278
2019 - 2020,DIV,Rockbridge County Public Schools,10,262
2019 - 2020,DIV,Rockbridge County Public Schools,11,256
2019 - 2020,DIV,Rockbridge County Public Schools,12,207
2019 - 2020,DIV,Rockingham County Public Schools,,11928
2019 - 2020,DIV,Rockingham County Public Schools,PK,417
2019 - 2020,DIV,Rockingham County Public Schools,KG,863
2019 - 2020,DIV,Rockingham County Public Schools,1,807
2019 - 2020,DIV,Rockingham County Public Schools,2,845
2019 - 2020,DIV,Rockingham County Public Schools,3,832
2019 - 2020,DIV,Rockingham County Public Schools,4,862
2019 - 2020,DIV,Rockingham County Public Schools,5,913
2019 - 2020,DIV,Rockingham County Public Schools,6,879
2019 - 2020,DIV,Rockingham County Public Schools,7,899
2019 - 2020,DIV,Rockingham County Public Schools,8,928
2019 - 2020,DIV,Rockingham County Public Schools,9,949
2019 - 2020,DIV,Rockingham County Public Schools,10,953
2019 - 2020,DIV,Rockingham County Public Schools,11,866
2019 - 2020,DIV,Rockingham County Public Schools,12,915
2019 - 2020,DIV,Russell County Public Schools,,3715
2019 - 2020,DIV,Russell County Public Schools,PK,183
2019 - 2020,DIV,Russell County Public Schools,KG,301
2019 - 2020,DIV,Russell County Public Schools,1,248
